,x
Comp 1,2253.883749
Comp 2,4395.81987
Comp 3,4479.21211
Comp 4,930.2661507
Comp 5,569.8370413
Comp 6,736.0481955
Comp 7,596.179417
Comp 8,451.1065579
Total,19620.2
