,x
Comp 1,1595.239387
Comp 2,2691.339321
Comp 3,8460.260621
Comp 4,1261.801236
Comp 5,1718.247423
Comp 6,873.3039797
Comp 7,674.8432829
Comp 8,647.6874586
Total,22753.43
