,x
Comp 1,4101.058617
Comp 2,7032.209939
Comp 3,11387.9777
Comp 4,2882.288957
Comp 5,1598.233377
Comp 6,1476.610627
Comp 7,959.5646335
Comp 8,1056.629625
Total,43009.93
