"","x"
"PC1",0.40672
"PC2",0.17924
"PC3",0.09604
"PC4",0.05411
"PC5",0.03974
"PC6",0.03751
"PC7",0.02481
"PC8",0.022
"PC9",0.01915
"PC10",0.01771
"PC11",0.01387
"PC12",0.01341
"PC13",0.01142
"PC14",0.01103
"PC15",0.00925
"PC16",0.0076
"PC17",0.00646
"PC18",0.00545
"PC19",0.0048
"PC20",0.00409
"PC21",0.00349
"PC22",0.00347
"PC23",0.00325
"PC24",0.00276
"PC25",0.00263
"PC26",0
