,x
Comp 1,3696.277857
Comp 2,5461.037757
Comp 3,2027.227644
Comp 4,823.1759824
Comp 5,603.8734042
Comp 6,1824.188895
Comp 7,760.076688
Comp 8,449.5948369
Total,21091.65
