,x
Comp 1,1997.37761
Comp 2,1848.867337
Comp 3,1650.953664
Comp 4,1183.580774
Comp 5,1179.25103
Comp 6,855.3442527
Comp 7,293.3415361
Comp 8,246.7185429
Total,11929.6
