Protein,Delta,DeltaSquared
Plate1_G6_TGFB2_Aviva,0.051851565,0.016914689
Plate1_H1_ETS1_Abnova,0.044045939,0.029881439
Plate1_H10_CD28_Aviva,0.075344774,0.035494603
Plate1_H11_E2F4 _Abnova,0.058734947,0.063279767
Plate1_H12_SELE_Aviva,0.011690722,0.024574869
Plate1_H13_FLT1_Abnova,0.024268568,0.027179419
Plate1_H14_VCP_Aviva,-0.006952499,0.016617187
Plate1_H15_GALK1_Abnova,0.032247796,0.020169304
Plate1_H16_NME1 (NME1;NME2)_Aviva,0.002978295,0.016909141
Plate1_H17_PLD1_Abnova,-0.041295665,0.020577319
Plate1_H18_SIRPA_Aviva,0.036386282,0.02179635
Plate1_H2_BMP6_Aviva,0.034700849,0.015674419
Plate1_H20_ASCL1_Aviva,0.096042829,0.047991913
Plate1_H21_CALR_Aviva,-0.065597581,0.040498506
Plate1_H22_YWHAB_Aviva,-0.032228145,0.037337307
Plate1_H23_AREG_Aviva,-0.01222356,0.046157163
Plate1_H24_RIPK2_Aviva,0.087337977,0.044910669
Plate1_H3_GCNT1_Abnova,0.048439554,0.054457416
Plate1_H6_CASP1_Aviva,0.046171662,0.02338976
Plate1_H8_AXL_Aviva,0.030642248,0.037350062
Plate1_H9_PIN1_Abnova,0.073954383,0.032364167
Plate1_I1_NAP1L1_Abnova,0.055349493,0.178398399
Plate1_I10_ST6GALNAC1_Aviva,-0.018647997,0.015218958
Plate1_I11_NUCB1_Abnova,0.229819088,0.706784958
Plate1_I12_YWHAZ_Aviva,0.099132655,0.046963571
Plate1_I13_NEUROG3_Abnova,0.086733181,0.088995717
Plate1_I15_CALML5_Abnova,0.066474531,0.090039909
Plate1_I17_PF4_Abnova,-0.176448001,0.154980646
Plate1_I18_AK1_Aviva,0.086766733,0.037663498
Plate1_I19_PGAM1_Abnova,0.191510491,0.18046827
Plate1_I2_WNT6_Aviva,-0.037544466,0.047217109
Plate1_I20_P4HB_Aviva,-0.021506643,0.010194554
Plate1_I21_PGK1_Abnova,0.07139185,0.207237247
Plate1_I22_CNN1_Aviva,0.022184421,0.015287687
Plate1_I23_ABCB1_Abnova,-0.032398394,0.032607962
Plate1_I24_EEF1A1_Aviva,0.042847323,0.046663195
Plate1_I4_LYVE1_Aviva,0.01352647,0.043477516
Plate1_I5_NOTCH3_Abnova,0.083711458,0.045520558
Plate1_I6_NRG1_Aviva,-0.029621223,0.025413364
Plate1_I7_NOV_Abnova,0.05214388,0.068779303
Plate1_I8_PODXL_Aviva,-0.009904137,0.017555813
Plate1_I9_NTS_Abnova,0.121008221,0.05670961
Plate1_J10_INSR_Aviva,0.009397772,0.032626191
Plate1_J11_PDK2_Aviva,0.066056573,0.048080749
Plate1_J12_JUN_Aviva,0.002413098,0.03833007
Plate1_J14_E2F1_Aviva,0.033610005,0.009896051
Plate1_J15_HOXC11_Aviva,0.076158368,0.031454135
Plate1_J18_ID2_Aviva,0.080955683,0.103066101
Plate1_J19_NFKB2_Aviva,-0.013964889,0.021085601
Plate1_J2_CDC25C_Aviva,0.001245851,0.052827882
Plate1_J20_TBP_Aviva,0.074827542,0.030885168
Plate1_J21_NOTCH3_Aviva,-0.045835366,0.038652477
Plate1_J22_FZD2 _Aviva,0.028468278,0.071885307
Plate1_J23_WNT1_Aviva,0.043312524,0.025346
Plate1_J24_SIGLEC6 _Aviva,0.038950709,0.104031813
Plate1_J3_FAS_Aviva,0.032814398,0.027038382
Plate1_J5_CXCR4_Aviva,0.091364746,0.051132084
Plate1_J6_CDC25A_Aviva,0.013346605,0.026460688
Plate1_J7_IRF9_Aviva,0.006349697,0.03135229
Plate1_J8_CCNE2_Aviva,0.063075218,0.032342469
Plate1_J9_TFAM_Aviva,0.010662866,0.035854003
Plate1_K15_RALGDS_Abnova,0.001917126,0.054547144
Plate1_K16_CAP1_Aviva,0.052566012,0.042640552
Plate1_K17_RARB_Abnova,-0.004529459,0.021938285
Plate1_K18_DSTN_Aviva,0.040133,0.018520373
Plate1_K19_RBL1_Abnova,0.086338971,0.044283856
Plate1_K21_RGS10_Abnova,0.140618467,0.145078718
Plate1_K24_PRDX1_Aviva,0.062363473,0.029764955
Plate1_K3_PLA2G4A_Abnova,0.037296021,0.02081319
Plate1_K4_ENO3_Aviva,-0.003246557,0.018438475
Plate1_K6_PRDX6_Aviva,0.03276754,0.024263374
Plate1_K7_PRKCA_Abnova,0.048603284,0.150580869
Plate1_L1_ATOH1_Aviva,0.008834744,0.012377573
Plate1_L10_ACAT1_Aviva,0.042690315,0.03755608
Plate1_L11_ASGR2_Aviva,-0.072506225,0.057616825
Plate1_L12_AMBP_Aviva,0.032404713,0.040664126
Plate1_L13_RGS12_Aviva,0.001972434,0.033380924
Plate1_L14_CORO1A_Aviva,0.022761107,0.04610429
Plate1_L15_MANSC1_Aviva,-0.00914991,0.023140262
Plate1_L16_GOT2_Aviva,0.070303478,0.026789414
Plate1_L17_ENO1_Aviva,-0.030822725,0.025831179
Plate1_L18_HNRNPU_Aviva,0.057624745,0.024582789
Plate1_L19_ZYX_Aviva,0.028573922,0.013906231
Plate1_L2_G6PD_Aviva,0.027523577,0.033278945
Plate1_L20_LOXL1_Aviva,0.04618226,0.022711151
Plate1_L21_CSRP1_Aviva,0.026514459,0.033015216
Plate1_L22_MDH2_Aviva,0.029293902,0.040158389
Plate1_L23_TCF7_Aviva,0.004714264,0.019349893
Plate1_L24_PDLIM5_Aviva,0.017721144,0.04041733
Plate1_L3_LEF1_Aviva,-0.010741634,0.036837679
Plate1_L4_GAPDH_Aviva,-0.050670521,0.036612576
Plate1_L5_NCOR2_Aviva,0.067225533,0.045260545
Plate1_L6_KLK10_Aviva,0.083639221,0.049573097
Plate1_L7_PTK2B_Aviva,0.013874317,0.010918536
Plate1_L8_EEA1_Aviva,-0.023207843,0.024536688
Plate1_L9_PPARA_Aviva,0.066736411,0.068077703
Plate1_M10_C1GALT1_Aviva,0.063330126,0.040140486
Plate1_M11_TIMP1_Abnova,0.234452129,0.219687673
Plate1_M12_GAL3ST3_Aviva,0.069969413,0.029283954
Plate1_M13_TIMP2_Abnova,-0.022166774,0.058888782
Plate1_M17_PHLDA2_Abnova,0.027623983,0.084155229
Plate1_M20_PYGO2_Aviva,-0.0209807,0.077470084
Plate1_M21_VCL_Abnova,-0.080682886,0.04539725
Plate1_M22_ABCB1_Aviva,0.013259302,0.025251339
Plate1_M23_VCP_Abnova,0.10486346,0.091057494
Plate1_M24_PPIA_Aviva,0.100188875,0.059594527
Plate1_M5_ST13_Abnova,0.054802255,0.160577179
Plate1_M8_DLL4_Aviva,-0.097181495,0.028322094
Plate1_M9_TFF3_Abnova,-0.081485186,0.12570238
Plate1_N10_CDH5_LSBio,0.024139647,0.032488202
Plate1_N11_RARG_Aviva,-0.016419042,0.070108675
Plate1_N12_COL18A1_LSBio,0.020650198,0.047918611
Plate1_N14_CTGF_LSBio,-0.000212413,0.030382939
Plate1_N15_TANK_Aviva,0.0256063,0.025178758
Plate1_N17_MECP2_Aviva,0.086553261,0.036949579
Plate1_N18_HLA-A/HLA-B/HLA-C_LSBio,0.048876928,0.105220144
Plate1_N19_XBP1_Aviva,0.098519303,0.105730432
Plate1_N2_SCP2_Aviva,0.030380579,0.024010776
Plate1_N20_SERPINB5_LSBio,-0.016557024,0.057426903
Plate1_N21_MEF2A_Aviva,0.01998771,0.031078193
Plate1_N22_THBS1_LSBio,-0.015636098,0.097637804
Plate1_N23_NOTCH1_Aviva,0.125339198,0.043967027
Plate1_N24_THBS1_LSBio,-0.032043535,0.310027657
Plate1_N3_MTA2_Aviva,-0.002669726,0.034543647
Plate1_N7_MCM2_Aviva,0.053410773,0.016466837
Plate1_N8_BCL3_LSBio,0.051171802,0.083895742
Plate1_N9_WT1_Aviva,0.027966391,0.059594095
Plate1_O1_VWF_Abnova,0.108334594,0.042741067
Plate1_O11_MAPKAPK3_Abnova,0.018232571,0.026404932
Plate1_O12_CNN2_Aviva,0.023163184,0.029953625
Plate1_O15_FZD3_Abnova,0.005621093,0.02888265
Plate1_O16_CTTN_Aviva,0.075426072,0.026704551
Plate1_O17_EIF3A_Abnova,0.042650185,0.013056406
Plate1_O18_FSTL1_Aviva,0.043783112,0.045155302
Plate1_O19_SNX3_Abnova,0.058017777,0.051505871
Plate1_O21_CRADD_Abnova,-0.025983255,0.059219284
Plate1_O23_TNFSF9_Abnova,0.074611178,0.065099838
Plate1_O24_LRG1_Aviva,0.097766996,0.044287259
Plate1_O3_ZIC3_Abnova,0.038463323,0.065188483
Plate1_O4_CSNK1A1_Aviva,0.049128627,0.026882693
Plate1_O5_PXDN_Abnova,0.023543074,0.032380904
Plate1_O6_CPN1_Aviva,0.067078174,0.012314748
Plate1_O7_FZD5_Abnova,0.091121388,0.252531651
Plate1_O9_MAPKAPK3_Abnova,0.127155048,0.119547339
Plate1_P1_METTL3_Aviva,0.028241387,0.048205316
Plate1_P10_DGCR6_ProSci,0.093484504,0.06307342
Plate1_P11_KHDRBS3_Aviva,0.085459291,0.035297384
Plate1_P12_NDUFA10_ProSci,-0.009357281,0.034694045
Plate1_P13_EIF4H_Aviva,0.034157308,0.024447258
Plate1_P14_Empty well_Empty,0.001383799,0.035330869
Plate1_P15_WNT10B_Aviva,0.033488587,0.018306991
Plate1_P16_ERBB2_R&D,0.014733146,0.038046667
Plate1_P17_FZD6_Aviva,0.009417799,0.013140072
Plate1_P18_THBS4_R&D,0.173118955,0.11950658
Plate1_P19_FZD7_Aviva,0.007302497,0.023292714
Plate1_P2_AZGP1_MyBio,0.005092359,0.018483003
Plate1_P20_TLR2_R&D,-0.02762396,0.059948444
Plate1_P21_FZD10_Aviva,0.038711641,0.016673842
Plate1_P22_PRDX6_R&D,-0.071445237,0.036140338
Plate1_P23_FZD4_Aviva,0.025644235,0.021930822
Plate1_P24_SPRED1_R&D,0.050578832,0.071260196
Plate1_P3_RXRB_Aviva,0.066096768,0.046489625
Plate1_P4_COMP_MyBio,0.007913499,0.014469819
Plate1_P5_NFATC1_Aviva,0.047464334,0.021980907
Plate1_P6_COMP_MyBio,0.028603949,0.024087945
Plate1_P7_ACTB_Aviva,0.042630914,0.047620928
Plate1_P8_UBC_Novus,0.037130993,0.035754752
Plate1_P9_RARA_Aviva,0.070219236,0.063359765
Plate10_A1_DCD_Santa,0.028240214,0.049990647
Plate10_A13_SIN3A_Santa,-0.016857679,0.034513187
Plate10_A14_SFRS3_Abcam,0.088338035,0.036278242
Plate10_A15_SIN3A_Abcam,0.11727143,0.074923199
Plate10_A16_UBXN1_Sigma,-0.020674129,0.069753344
Plate10_A17_PTPRM_Santa,0.023623456,0.111843224
Plate10_A18_SSB_Sigma,0.056830964,0.047326672
Plate10_A19_PTPRM_Santa,0.117972602,0.055188824
Plate10_A20_EIF5A_PTG,0.007086592,0.02926256
Plate10_A21_GPANK1 (BAT4)_Santa,0.00871604,0.123127755
Plate10_A24_SLIRP_Abcam,0.059193847,0.117604912
Plate10_A4_G3BP1_Abnova,0.057357988,0.05859202
Plate10_A5_DCD_Santa,0.039597996,0.036195247
Plate10_A6_HIST1H1D_Abcam,0.076653011,0.055985951
Plate10_A7_DCD_Santa,0.06822832,0.0529254
Plate10_A8_CSRP1_Abcam,0.019630989,0.036211272
Plate10_A9_DCD_Santa,-0.021871895,0.067166526
Plate10_B1_GJA1(p279)_Lampe_Connexin,-0.027004285,0.028118844
Plate10_B10_TP73_Santa,-0.01659851,0.073036055
Plate10_B11_TLR2_Abcam,0.106503434,0.085964638
Plate10_B12_Cdkn2a_Santa,0.133620271,0.106401874
Plate10_B13_GPANK1(BAT4)_Abnova,0.000638073,0.015493169
Plate10_B14_Cdkn2a_Santa,0.069960376,0.081413223
Plate10_B15_GPANK1(BAT4)_Abcam,0.086983507,0.042527032
Plate10_B16_NRN1_Santa,0.057682012,0.03094855
Plate10_B17_PRG2_Abcam,-0.004673407,0.1216626
Plate10_B19_PRG2_Abnova,0.065642567,0.025305154
Plate10_B2_ZYX_ABnova,0.02460846,0.072116925
Plate10_B20_CLDN18_Santa,0.008695063,0.010612019
Plate10_B21_PRG2_Abcam,-0.050970612,0.135694881
Plate10_B23_PPP2CA_CSignal,-0.019873038,0.034107827
Plate10_B24_MKI67_ABcam,-0.039027094,0.037122965
Plate10_B3_TSG101_Santa,0.034546576,0.041029403
Plate10_B4_PDIA3_Santa,0.029946824,0.036486743
Plate10_B5_SKP2_Santa,0.024077305,0.144856695
Plate10_B7_TLR2_CSignal,0.11399336,0.115372721
Plate10_B8_TP63_Santa,-0.152173148,0.19968253
Plate10_C1_USF1_Santa,-0.008152139,0.116849963
Plate10_C10_CAPN3 (NCL1)_Sigma,-0.039091877,0.028899137
Plate10_C11_Hif3a_Santa,0.112051781,0.099248264
Plate10_C12_CD59_Abcam,0.173483997,0.341034021
Plate10_C13_HIF3A_Santa,0.045074119,0.115858263
Plate10_C14_SRSF1 (SF2)_Abcam,0.057890949,0.021210516
Plate10_C15_HIF1A_Santa,-0.072165014,0.066662183
Plate10_C16_TPI1_Abcam,0.103107214,0.082995223
Plate10_C17_HIF1A_Santa,0.025074319,0.016262167
Plate10_C18_RALY_Abcam,-0.021332613,0.016070254
Plate10_C19_HIF1A_Santa,0.058297999,0.137598372
Plate10_C2_CD44_Abcam,-0.033364085,0.033801008
Plate10_C20_HSPB1_PTG,-0.064071591,0.019296593
Plate10_C21_TTR_Dako,0.068967067,0.081044188
Plate10_C22_PDIA3 (ERp57)_Enzo,0.00729238,0.01190085
Plate10_C23_MYC_Santa,-0.020086868,0.0565974
Plate10_C24_ILK_Sigma,0.087695774,0.047027822
Plate10_C3_USF1_Santa,0.051649217,0.027054546
Plate10_C4_CSRP1_Abcam,0.005097359,0.025272885
Plate10_C5_MAP3K3_Santa,0.099894547,0.047881295
Plate10_C6_HNRPA2B1_Abnova,0.010056506,0.015937051
Plate10_C7_MAP3K3_Santa,0.047400044,0.03435883
Plate10_C8_CSRP1_PTG,0.003131258,0.008598157
Plate10_C9_MAP3K3_Santa,-0.092877037,0.088020303
Plate10_D10_CRB3 _Santa,0.025881605,0.052571457
Plate10_D11_IGFBP2_R&D,0.238827719,0.175863894
Plate10_D13_S100A11_ProteinTech,-0.04317471,0.044011807
Plate10_D14_CRP1 _Santa,-0.015184446,0.063025467
Plate10_D15_S100A11_Epitomics,-0.018336423,0.01458374
Plate10_D16_ARP _Santa,0.034643586,0.022508724
Plate10_D17_EHD2_ProteinTech,0.008470796,0.029254496
Plate10_D18_TAGLN2 _Santa,-0.019730258,0.089309645
Plate10_D19_LY6D_Abnova,0.093230387,0.025516853
Plate10_D2_HIST1H1E_Upstate,-0.059596117,0.071555726
Plate10_D20_TAGLN2_Santa,0.031990495,0.057654761
Plate10_D21_ALDH1A3_Abgent,0.03068915,0.030486649
Plate10_D22_FETUB _Santa,-0.01325057,0.152076942
Plate10_D3_P4C8_Lampe_LampeLab,0.053992769,0.114451615
Plate10_D4_CA2_Abcam,0.042087563,0.008838072
Plate10_D5_PLA12_Lampe_LampeLab,-0.012067207,0.012878178
Plate10_D6_CRB3 _Santa,-0.076042431,0.084803833
Plate10_D7_S100A11_Abnova,-0.011456554,0.039940777
Plate10_D8_CRB3 _Santa,-0.02105919,0.045010697
Plate10_D9_A1BG_Hanash_Inhouse,0.039109176,0.060074222
Plate10_E1_MYC_Santa,0.110612908,0.0597287
Plate10_E10_ILK_Abcam,-0.082817613,0.077434379
Plate10_E12_Cy3 (not a gene)_Santa,-0.1212714,0.076368651
Plate10_E2_HNRPAB_Genway,0.037022382,0.026855034
Plate10_E3_MAPK7_Santa,0.081766168,0.090091106
Plate10_E4_ILK_PIERCE,0.097028065,0.092687477
Plate10_E5_RAB7A_Santa,0.070906028,0.089246371
