,x
Comp 1,1406.340446
Comp 2,1615.53008
Comp 3,3316.483763
Comp 4,559.9283052
Comp 5,654.9152173
Comp 6,298.6436204
Comp 7,216.4281776
Comp 8,413.4395115
Total,10630.1
