,x
Comp 1,1151.66137
Comp 2,3638.390784
Comp 3,696.0702909
Comp 4,508.2940644
Comp 5,615.9084619
Comp 6,278.6849507
Comp 7,378.5225267
Comp 8,166.8101787
Total,8107.12
