Protein,Delta,DeltaSquared
Plate1_G4_ST3GAL1_Aviva,-0.024541763,0.029907994
Plate1_G5_IL1RAP_Abnova,-0.014436809,0.042435054
Plate1_G6_TGFB2_Aviva,0.05854667,0.038506646
Plate1_H1_ETS1_Abnova,0.070777422,0.046745601
Plate1_H10_CD28_Aviva,-0.005447305,0.041782421
Plate1_H11_E2F4 _Abnova,0.073104019,0.048689465
Plate1_H12_SELE_Aviva,0.009227105,0.010304742
Plate1_H13_FLT1_Abnova,0.013402245,0.006241585
Plate1_H14_VCP_Aviva,-0.016316261,0.023887386
Plate1_H15_GALK1_Abnova,0.035469818,0.026407407
Plate1_H16_NME1 (NME1;NME2)_Aviva,0.042196967,0.029815265
Plate1_H17_PLD1_Abnova,0.189443257,0.077973776
Plate1_H18_SIRPA_Aviva,0.122357679,0.086970581
Plate1_H2_BMP6_Aviva,0.04986052,0.013760733
Plate1_H20_ASCL1_Aviva,0.059371915,0.038175797
Plate1_H21_CALR_Aviva,-0.015590504,0.079993402
Plate1_H22_YWHAB_Aviva,-0.040619522,0.058506234
Plate1_H23_AREG_Aviva,-0.055409204,0.052390928
Plate1_H24_RIPK2_Aviva,0.054505993,0.021311949
Plate1_H3_GCNT1_Abnova,0.047297482,0.018689402
Plate1_H6_CASP1_Aviva,0.081757076,0.032662903
Plate1_H8_AXL_Aviva,0.022736041,0.030856443
Plate1_H9_PIN1_Abnova,0.041308667,0.03221019
Plate1_I1_NAP1L1_Abnova,0.044263273,0.115559656
Plate1_I10_ST6GALNAC1_Aviva,0.034292145,0.037810089
Plate1_I11_NUCB1_Abnova,0.335897212,1.537186304
Plate1_I12_YWHAZ_Aviva,0.040044102,0.027979884
Plate1_I13_NEUROG3_Abnova,0.171192458,0.07759794
Plate1_I15_CALML5_Abnova,0.039034653,0.031244969
Plate1_I17_PF4_Abnova,-0.082693132,0.203635881
Plate1_I18_AK1_Aviva,0.00741116,0.02519068
Plate1_I19_PGAM1_Abnova,0.039952898,0.091555849
Plate1_I2_WNT6_Aviva,0.005469578,0.038934336
Plate1_I20_P4HB_Aviva,0.077411986,0.012112552
