Comp.1,Comp.2,Comp.3,Comp.4,Comp.5,Comp.6,Comp.7,Comp.8,Sample
-2.77175653,0.137055705,-5.327168083,3.576416749,1.520057654,-6.369997665,-3.244513221,-2.340795892,21103_A
-4.811984308,5.934139811,-8.171501385,-0.882599735,-1.808550375,-0.873437002,6.367652682,3.33536189,21103_B
-0.42005622,2.896363923,-7.157759194,-0.224726162,2.032496015,-0.821450521,-2.940026155,-6.787843349,21106_B
2.084745906,4.740390322,-7.236949116,-7.031963674,0.100371461,-1.12513751,-1.839127781,0.776468522,21106_A
0.106136866,-10.97779656,-7.516937502,1.978677904,-3.856168044,2.636840079,2.596553846,2.599670581,21117_B
0.55412482,-15.01053204,2.997869794,-6.188942975,-2.501275252,-6.232944533,2.5737666,-1.401604513,21117_A
-17.05304484,0.128496813,4.14445129,-0.688183229,-4.487367824,5.467185651,-0.483737368,-1.923309267,21217_B
1.296717425,-12.28010757,-5.732090749,-1.64011713,0.542733342,2.059831658,-6.497318454,3.602331527,21217_A
-2.142599402,5.96505009,0.675588986,10.43134713,6.854079586,-3.443338197,0.375613706,3.129002247,21576_B
3.474358094,13.8097605,4.137682458,-3.855012469,0.950647371,0.748169031,2.669022644,-2.67521031,21576_A
2.015094886,5.241201941,-1.711489587,2.818329176,5.782292991,3.622207331,2.337259255,-1.255659512,21686_A
5.011679305,9.81142185,1.308470875,-5.712163058,3.542408113,2.604105652,1.957960683,2.790390155,21686_B
10.26774539,-0.918007865,0.472579324,6.949395858,-12.57752552,2.757481886,1.221910921,-2.265767894,21837_B
0.408856001,-12.80233689,10.61164638,0.675761866,4.903343701,-0.863140137,7.505169061,-0.685236288,21837_A
-1.031332189,10.49256814,11.30829074,-0.377040988,-8.124041262,-3.980135022,-5.456548194,3.247825446,21872_A
3.011314794,-7.167668172,7.197315771,0.170820732,7.126498044,3.813759298,-7.143638222,-0.145623343,21872_B
