"","x"
"PC1",0.53228
"PC2",0.12922
"PC3",0.10971
"PC4",0.06401
"PC5",0.04367
"PC6",0.02866
"PC7",0.02127
"PC8",0.01703
"PC9",0.01368
"PC10",0.00912
"PC11",0.00853
"PC12",0.00721
"PC13",0.00668
"PC14",0.00493
"PC15",0.00399
"PC16",0
