"","x"
"PC1",0.67919
"PC2",0.10471
"PC3",0.07059
"PC4",0.04134
"PC5",0.03495
"PC6",0.02011
"PC7",0.0129
"PC8",0.00979
"PC9",0.0083
"PC10",0.00598
"PC11",0.00483
"PC12",0.00416
"PC13",0.00314
"PC14",0
