Protein,Delta,DeltaSquared
Plate1_F23_NCK1_Abnova,-0.02770295,0.018678774
Plate1_F24_AZGP1_Aviva,-0.043063948,0.010243433
Plate1_F3_RGS18_Abnova,0.055784424,0.109535624
Plate1_F5_ARAP3_Abnova,-0.093097135,0.126175924
Plate1_F6_CNPY3_Aviva,-0.090128625,0.035794714
Plate1_F7_INHBE_Abnova,-0.074463905,0.013013225
Plate1_F8_WNT8B_Aviva,0.14168966,0.099954513
Plate1_F9_PLXDC2_Abnova,0.057093137,0.084101836
Plate1_G15_LDHB_Abnova,-0.012591883,0.070448537
Plate1_G16_GM2A_Aviva,0.088716999,0.065542275
Plate1_G18_DLGAP5_Aviva,0.06592342,0.023633038
Plate1_G19_LRP5_Abnova,-0.042262663,0.068034082
Plate1_G3_HES1_Abnova,-0.021121498,0.055053734
Plate1_G4_ST3GAL1_Aviva,0.065755308,0.01566704
Plate1_G5_IL1RAP_Abnova,-0.084410057,0.023408495
Plate1_G6_TGFB2_Aviva,0.018298959,0.018797404
Plate1_H1_ETS1_Abnova,0.007627242,0.062074504
Plate1_H10_CD28_Aviva,0.121929231,0.115063447
Plate1_H11_E2F4 _Abnova,-0.19909991,0.072065461
Plate1_H12_SELE_Aviva,-0.006169413,0.05431756
Plate1_H13_FLT1_Abnova,-0.064444023,0.027071664
Plate1_H14_VCP_Aviva,0.012188976,0.011952206
Plate1_H15_GALK1_Abnova,-0.206541193,0.088088354
Plate1_H16_NME1 (NME1;NME2)_Aviva,-0.113223886,0.105648511
Plate1_H17_PLD1_Abnova,-0.060325108,0.023884081
Plate1_H18_SIRPA_Aviva,-0.038778428,0.034286363
Plate1_H2_BMP6_Aviva,0.01448376,0.00769755
Plate1_H20_ASCL1_Aviva,-0.015649245,0.044008257
Plate1_H21_CALR_Aviva,-0.113886373,0.033086154
Plate1_H22_YWHAB_Aviva,0.031583573,0.071574072
Plate1_H23_AREG_Aviva,0.094976076,0.048584273
Plate1_H24_RIPK2_Aviva,0.017858818,0.003040927
Plate1_H3_GCNT1_Abnova,-0.008177941,0.039816057
Plate1_H6_CASP1_Aviva,0.028590069,0.017664978
Plate1_H8_AXL_Aviva,-0.000567156,0.021977523
Plate1_H9_PIN1_Abnova,-0.116450861,0.028196374
Plate1_I1_NAP1L1_Abnova,0.032916386,0.045936578
Plate1_I10_ST6GALNAC1_Aviva,0.106507922,0.050018446
Plate1_I11_NUCB1_Abnova,-0.009176563,0.316925218
